"DATEOFDATA"	"SOURCESYSTEM"	"ACCOUNTID"	"COLLATERALID"	"SECURITYCODE"	"SECURITYVALUE"	"VALUATIONDATE"	"SECURITYCHARGESTATUS"	"VALUATIONEXPIRYDATE"	"CUSTOMERID"	"CARATVALUE"	"GOLDWEIGHTNETGMS"	"SECURITY_ID"	"CHARGE_TYPE_CODE"	"VALUATION_SOURCE"	"COLLATERAL_TYPE"
"2024-06-02"	"MIFIN"	"RB00025703"	""	""	345536	""	""	""	"AP00007877"	22	64	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025199"	""	""	85924.8	""	""	""	"AP00008723"	18	19.44	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024992"	""	""	48864.45	""	""	""	"AP00008553"	20	9.95	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024859"	""	""	547998.5	""	""	""	"AP00008438"	22	101.5	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024695"	""	""	11835.51	""	""	""	"AP00008309"	20	2.41	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025307"	""	""	24753.6	""	""	""	"AP00008814"	21	4.8	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024916"	""	""	51930.99	""	""	""	"AP00008486"	21	10.07	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025201"	""	""	12685.4	""	""	""	"AP00008723"	18	2.87	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024877"	""	""	46971.3	""	""	""	"AP00008451"	22	8.7	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025215"	""	""	105638	""	""	""	"AP00008736"	18	23.9	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025242"	""	""	72454.58	""	""	""	"AP00008758"	22	13.42	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025071"	""	""	45426.75	""	""	""	"AP00008616"	20	9.25	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025435"	""	""	61240.17	""	""	""	"AP00008922"	20	12.47	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024862"	""	""	200607.3	""	""	""	"AP00008440"	21	38.9	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025488"	""	""	57949.8	""	""	""	"AP00008962"	20	11.8	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024744"	""	""	51282	""	""	""	"AP00008345"	19	11	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00026352"	""	""	63708.2	""	""	""	"AP00008276"	22	11.8	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025499"	""	""	210561	""	""	""	"AP00008969"	22	39	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025188"	""	""	98318.22	""	""	""	"AP00008715"	20	20.02	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025425"	""	""	19890	""	""	""	"AP00008518"	18	4.5	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024829"	""	""	15764.31	""	""	""	"AP00008413"	20	3.21	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025675"	""	""	83543.4	""	""	""	"AP00008708"	21	16.2	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024721"	""	""	68754	""	""	""	"AP00008331"	20	14	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00026120"	""	""	124177	""	""	""	"AP00008186"	22	23	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025477"	""	""	52793.25	""	""	""	"AP00008951"	20	10.75	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025692"	""	""	115214.66	""	""	""	"AP00009132"	22	21.34	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025175"	""	""	21117.3	""	""	""	"AP00008704"	20	4.3	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025700"	""	""	44556.48	""	""	""	"AP00008860"	21	8.64	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024855"	""	""	53990	""	""	""	"AP00008436"	22	10	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024810"	""	""	18661.8	""	""	""	"AP00008396"	20	3.8	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024635"	""	""	117225.57	""	""	""	"AP00008264"	20	23.87	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025117"	""	""	340676.9	""	""	""	"AP00008657"	22	63.1	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024903"	""	""	18734.53	""	""	""	"AP00008475"	22	3.47	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025847"	""	""	81362.93	""	""	""	"AP00008239"	22	15.07	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00026416"	""	""	76366.05	""	""	""	"AP00008227"	20	15.55	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024693"	""	""	101850.75	""	""	""	"AP00008307"	21	19.75	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024598"	""	""	25635.42	""	""	""	"AP00008234"	20	5.22	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025143"	""	""	54259.95	""	""	""	"AP00008678"	22	10.05	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025216"	""	""	166153.68	""	""	""	"AP00008737"	19	35.64	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00026094"	""	""	43785.89	""	""	""	"AP00009196"	22	8.11	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025135"	""	""	24505.89	""	""	""	"AP00008606"	20	4.99	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025443"	""	""	27074.25	""	""	""	"AP00008232"	21	5.25	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025002"	""	""	48591	""	""	""	"AP00008560"	22	9	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025069"	""	""	29416.89	""	""	""	"AP00008614"	20	5.99	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024776"	""	""	86168.04	""	""	""	"AP00008367"	22	15.96	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024778"	""	""	309362.7	""	""	""	"AP00008200"	22	57.3	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024768"	""	""	47980.47	""	""	""	"AP00008361"	20	9.77	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025756"	""	""	207753.52	""	""	""	"AP00008176"	22	38.48	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025348"	""	""	58932	""	""	""	"AP00008848"	20	12	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024653"	""	""	213152.52	""	""	""	"AP00008279"	22	39.48	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00025416"	""	""	84729.51	""	""	""	"AP00008908"	21	16.43	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024856"	""	""	170181	""	""	""	"AP00008437"	21	33	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024834"	""	""	237556	""	""	""	"AP00008417"	22	44	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024928"	""	""	38440.88	""	""	""	"AP00008496"	22	7.12	""	""	""	""
"2024-06-02"	"MIFIN"	"RB00024937"	""	""	85952.08	""	""	""	"AP00008504"	22	15.92	""	""	""	""
